Name,Brand,Origin,Year,Engine CC,Type,Weight (kg),Max Speed (km/h),Cost (USD),Acceleration (m/s^2),Fuel Capacity (liters)
Versys 300,Kawasaki,Japan,2021,296,Adventure,184,160,5500,4.5,17
Street Rod,Harley,USA,2022,749,Cruiser,238,190,11000,4.5,13.5
Sportster Iron 883,Harley,USA,2023,883,Cruiser,256,190,9500,4.8,12.5
Fat Bob,Harley,USA,2021,1868,Cruiser,306,205,18000,4.0,16.5
Roadster,Harley,USA,2022,1202,Cafe Racer,259,185,12000,5.2,12.5
Softail Slim,Harley,USA,2023,1868,Cruiser,300,175,17000,3.8,16.5
FXDR 114,Harley,USA,2021,1868,Cruiser,290,240,20000,4.2,18.5
Heritage Classic,Harley,USA,2022,1868,Cruiser,326,180,19000,3.5,16.5
SuperLow,Harley,USA,2023,883,Cruiser,251,160,9000,4.0,12.5
Street 500,Harley,USA,2022,494,Cruiser,223,130,7000,6.0,13.1
Iron 883,Harley,USA,2021,883,Cruiser,256,170,9500,4.5,12.5
RC 125,KTM,Austria,2023,125,Sport,154,120,4500,4.0,10
Adventure 390,KTM,Austria,2022,373,Adventure,172,160,6000,5.5,14.5
Duke 790,KTM,Austria,2021,799,Naked,189,220,11000,6.8,14
RC 200,KTM,Austria,2023,200,Sport,160,140,5000,5.0,9.5
Adventure 250,KTM,Austria,2022,248,Adventure,153,150,5500,4.5,13
125 SX,KTM,Austria,2021,125,Motocross,89,110,4500,5.0,3.8
390 Duke,KTM,Austria,2022,373,Naked,149,170,5500,6.0,13.5
1290 Super Duke GT,KTM,Austria,2023,1301,Sport Touring,209,270,19000,8.0,18
690 SMC R,KTM,Austria,2022,690,Supermoto,150,220,10000,5.5,13.5
790 Adventure R,KTM,Austria,2021,799,Adventure,189,220,14000,6.0,20
Interceptor 650,Royal Enfield,India,2022,648,Cruiser,202,236,7000,5.5,13.7
Himalayan,Royal Enfield,India,2023,411,Adventure,199,140,5000,3.0,15
Classic 500,Royal Enfield,India,2021,499,Cruiser,194,193,6000,4.5,13.5
Continental GT 650,Royal Enfield,India,2022,648,Cafe Racer,198,209,8000,5.0,12.5
Meteor 350,Royal Enfield,India,2023,349,Cruiser,170,193,4000,4.0,15
Bullet 350,Royal Enfield,India,2021,346,Cruiser,175,177,4000,3.5,13.5
Himalayan 650,Royal Enfield,India,2022,648,Adventure,203,213,6000,5.0,15
Thunderbird X,Royal Enfield,India,2023,346,Cruiser,188,177,5000,4.0,13.5
Classic 350,Royal Enfield,India,2022,346,Cruiser,180,177,5000,4.0,13.5
Interceptor 350,Royal Enfield,India,2021,346,Cruiser,175,177,5000,4.0,13.5
